step,crossentropy,val crossentropy,acc,val acc,precision,val precision,recall,val recall,f1,val f1
1,0.8814362435185672,0.2173298835181273,0.44721971066907773,0.8055889423076923,0.1112266425683313,0.0,0.566003616636528,0.0,0.18083652496930702,0.0
2,0.24554334890777768,0.21708143774706584,0.5167269439421338,0.8061899038461539,0.09358047016274865,0.0,0.46835443037974683,0.0,0.1517722193710843,0.0
3,0.21760955695433384,0.21720808988007215,0.531758589511754,0.19411057692307693,0.09380650994575045,0.19411057692307693,0.4484629294755877,0.9567307692307693,0.15052975824685466,0.3139954265207052
4,0.2176348361410672,0.2179811534901651,0.42518083182640143,0.8061899038461539,0.12093128390596745,0.0,0.6003616636528029,0.0,0.19536801996164252,0.0
5,0.21766994303432555,0.21778685370316872,0.4866636528028933,0.8052884615384616,0.10556057866184448,0.0,0.5117540687160941,0.0,0.17007257914672494,0.0
6,0.2175156335071888,0.21719571948051453,0.8054927667269439,0.8058894230769231,0.0,0.0,0.0,0.0,0.0,0.0
7,0.21759296756972024,0.21708053450744885,0.7553119349005425,0.19381009615384615,0.016726943942133816,0.19381009615384615,0.08318264014466546,0.9759615384615384,0.027299581395351002,0.314540228054214
8,0.21750089043842302,0.21732198303708664,0.3995253164556962,0.8055889423076923,0.12624321880650993,0.0,0.6347197106690777,0.0,0.20374925136835623,0.0
9,0.21752281018126937,0.21721572385957608,0.6998191681735986,0.19411057692307693,0.03684448462929476,0.19411057692307693,0.17721518987341772,0.9663461538461539,0.059106930753529394,0.31451484840363264
10,0.21754192290103458,0.21706706700989833,0.25248643761301987,0.8061899038461539,0.1739376130198915,0.0,0.8788426763110307,0.0,0.2816590076383156,0.0
