step,crossentropy,val crossentropy,acc,val acc,precision,val precision,recall,val recall,f1,val f1
1,2.4025678899054945,0.4960415316029237,0.7618670886075949,0.8061899038461539,0.7566870859744967,0.8061899038461539,0.8052667269439421,0.8061899038461539,0.7754339601635717,0.8061899038461539
2,0.5016465340395733,0.4929945318458172,0.8046451175406871,0.8058894230769231,0.804618746311712,0.8058894230769231,0.805379746835443,0.8058894230769231,0.8048694929205703,0.8058894230769231
3,0.4983457837247072,0.4918808117508888,0.8049276672694394,0.8061899038461539,0.8049276672694394,0.8061899038461539,0.8049276672694394,0.8061899038461539,0.8049276672694394,0.8061899038461539
4,0.49566611820060563,0.49281961062493235,0.8049841772151899,0.8055889423076923,0.8050988117135239,0.8055889423076923,0.8048146473779385,0.8055889423076923,0.8049488129063929,0.8055889423076923
5,0.49403892988322223,0.49245568035313714,0.8048146473779385,0.8061899038461539,0.8048146473779385,0.8061899038461539,0.8048146473779385,0.8061899038461539,0.8048146473779385,0.8061899038461539
6,0.4932092402878118,0.49164416175335646,0.8051537070524413,0.8061899038461539,0.8051537070524413,0.8061899038461539,0.8051537070524413,0.8061899038461539,0.8051537070524413,0.8061899038461539
7,0.49306384715206153,0.4920911480887578,0.8052667269439421,0.8058894230769231,0.8052667269439421,0.8058894230769231,0.8052667269439421,0.8058894230769231,0.8052667269439421,0.8058894230769231
8,0.4932658995685267,0.4920412708933537,0.8050406871609403,0.8058894230769231,0.8050406871609403,0.8058894230769231,0.8050406871609403,0.8058894230769231,0.8050406871609403,0.8058894230769231
9,0.49334480752242194,0.4920951950435455,0.8051537070524413,0.8058894230769231,0.8051537070524413,0.8058894230769231,0.8051537070524413,0.8058894230769231,0.8051537070524413,0.8058894230769231
10,0.49320907456965385,0.4921923802019312,0.8050406871609403,0.8058894230769231,0.8050406871609403,0.8058894230769231,0.8050406871609403,0.8058894230769231,0.8050406871609403,0.8058894230769231
