step,crossentropy,val crossentropy,acc,val acc,precision,val precision,recall,val recall,f1,val f1
1,0.9974327061849809,0.4911147067323327,0.7872292418772563,0.8067908653846154,0.7860263933558757,0.8067908653846154,0.8058438628158845,0.8067908653846154,0.7924285494060077,0.8067908653846154
2,0.5026985227469933,0.491700884527885,0.8039259927797834,0.8061899038461539,0.8030234657039711,0.8061899038461539,0.8030234657039711,0.8061899038461539,0.8030234657039711,0.8061899038461539
3,0.49437622607615017,0.4908636405777473,0.8047157039711191,0.8067908653846154,0.8047157039711191,0.8067908653846154,0.8047157039711191,0.8067908653846154,0.8047157039711191,0.8067908653846154
4,0.49398970372625206,0.49245540983974934,0.8046028880866426,0.8058894230769231,0.8046028880866426,0.8058894230769231,0.8046028880866426,0.8058894230769231,0.8046028880866426,0.8058894230769231
5,0.4947406501384849,0.49318697733374744,0.8046028880866426,0.8052884615384616,0.8046028880866426,0.8052884615384616,0.8046028880866426,0.8052884615384616,0.8046028880866426,0.8052884615384616
6,0.4937714711907538,0.4921338391991762,0.8048285198555957,0.8058894230769231,0.8048285198555957,0.8058894230769231,0.8048285198555957,0.8058894230769231,0.8048285198555957,0.8058894230769231
7,0.4940330637921495,0.49084297180748904,0.8046028880866426,0.8067908653846154,0.8046028880866426,0.8067908653846154,0.8046028880866426,0.8067908653846154,0.8046028880866426,0.8067908653846154
8,0.49387984510363225,0.4921376768213052,0.8047157039711191,0.8058894230769231,0.8047157039711191,0.8058894230769231,0.8047157039711191,0.8058894230769231,0.8047157039711191,0.8058894230769231
9,0.4940427419349605,0.49213946582033086,0.8046028880866426,0.8058894230769231,0.8046028880866426,0.8058894230769231,0.8046028880866426,0.8058894230769231,0.8046028880866426,0.8058894230769231
10,0.4940234949872812,0.4925562333888732,0.8046028880866426,0.8055889423076923,0.8046028880866426,0.8055889423076923,0.8046028880866426,0.8055889423076923,0.8046028880866426,0.8055889423076923
